Symbol,Name,Market Cap,Sector,Industry
6758,Sony Group Corporation,$126.64 B, Technology, Consumer Electronics
6861,Keyence Corp,$113.20 B, Technology, Scientific & Technical Instruments
9432,Nippon Telegraph & Telephone Corp,$103.75 B, Communication Services, Telecom Services
8306,"Mitsubishi UFJ Financial Group, Inc.",$85.03 B, Financials, Banks
8035,Tokyo Electron Ltd,$79.62 B, Technology, Semiconductor Equipment & Materials
9433,KDDI Corp,$73.12 B, Communication Services, Telecom Services
6098,Recruit Holdings Co Ltd,$68.11 B, Industrials, Staffing & Employment Services
4661,Oriental Land Co. Ltd,$64.66 B, Consumer Discretionary, Leisure
4063,Shin-Etsu Chemical Co Ltd,$63.43 B, Basic Materials, Chemicals
7974,Nintendo Co Ltd,$62.20 B, Communication Services, Electronic Gaming & Multimedia
8058,Mitsubishi Corp,$57.23 B, Industrials, Conglomerates
6367,"Daikin Industries,Ltd.",$55.58 B, Industrials, Building Products & Equipment
4519,Chugai Pharmaceutical Co. Ltd,$55.31 B, Healthcare, Drug Manufacturers—General
9984,SoftBank Group Corp.,$54.93 B, Communication Services, Telecom Services
9983,Fast Retailing Co. Ltd,$52.29 B, Consumer Discretionary, Apparel Retail
8001,ITOCHU Corp,$52.19 B, Industrials, Conglomerates
6902,DENSO Corp,$51.58 B, Consumer Discretionary, Auto Parts
7203,Toyota Motor Corporation,$51.55 B, Consumer Discretionary, Auto Manufacturers
7267,"Honda Motor Co., Ltd.",$49.11 B, Consumer Discretionary, Auto Manufacturers
6501,Hitachi Ltd,$48.92 B, Industrials, Conglomerates
6594,Nidec Corp,$46.33 B, Industrials, Specialty Industrial Machinery
4502,Takeda Pharmaceutical Company Limited,$45.89 B, Healthcare, Drug Manufacturers—Specialty & Generic
8031,Mitsui & Co. Ltd,$45.09 B, Energy, Oil & Gas E&P
8316,"Sumitomo Mitsui Financial Group, Inc.",$44.06 B, Financials, Banks
6981,Murata Manufacturing Co. Ltd,$43.41 B, Technology, Electronic Components
7741,HOYA Corp,$42.88 B, Healthcare, Medical Instruments & Supplies
3382,Seven & i Holdings Co. Ltd,$42.53 B, Consumer Staples, Grocery Stores
6EQ,EQT AB,$39.71 B, Financials, Asset Management
4568,Daiichi Sankyo Company Ltd,$37.79 B, Healthcare, Drug Manufacturers—General
6273,SMC Corp,$37.08 B, Industrials, Specialty Industrial Machinery
8766,"Tokio Marine Holdings, Inc.",$36.99 B, Financials, Insurance—Property & Casualty
4689,Z Holdings Corp,$34.24 B, Consumer Discretionary, Internet Retail
6954,FANUC Corp,$33.68 B, Industrials, Specialty Industrial Machinery
8411,"Mizuho Financial Group, Inc.",$33.47 B, Financials, Banks
7182,"JAPAN POST BANK Co.,Ltd.",$31.93 B, Financials, Banks
2914,"Japan Tobacco, Inc.",$31.59 B, Consumer Staples, Tobacco
6178,Japan Post Holdings Co. Ltd,$31.41 B, Financials, Banks
6702,Fujitsu Ltd,$30.28 B, Technology, Information Technology Services
4503,"Astellas Pharma, Inc.",$29.22 B, Healthcare, Drug Manufacturers—General
9613,NTT Data Corp,$27.26 B, Technology, Information Technology Services
5108,Bridgestone Corp,$26.88 B, Consumer Discretionary, Auto Parts
7751,Canon Inc.,$26.38 B, Technology, Computer Hardware
9022,Central Japan Railway Co,$26.00 B, Industrials, Railroads
6503,Mitsubishi Electric Corporation,$25.61 B, Industrials, Electrical Equipment & Parts
4901,FUJIFILM Holdings Corp,$24.12 B, Industrials, Business Equipment & Supplies
8591,ORIX Corporation,$23.97 B, Financials, Credit Services
2413,"M3, Inc.",$23.89 B, Healthcare, Health Information Services
6326,Kubota Corp,$23.46 B, Industrials, Farm & Heavy Construction Machinery
4543,Terumo Corp,$23.16 B, Healthcare, Medical Instruments & Supplies
7733,Olympus Corp,$23.00 B, Healthcare, Medical Instruments & Supplies
9020,East Japan Railway Company,$22.78 B, Industrials, Railroads
6752,Panasonic Corp,$22.73 B, Technology, Consumer Electronics
6301,Komatsu Ltd,$22.56 B, Industrials, Farm & Heavy Construction Machinery
8053,Sumitomo Corp,$22.42 B, Industrials, Conglomerates
8113,Unicharm Corp,$22.08 B, Consumer Staples, Household & Personal Products
6201,Toyota Industries Corp,$21.99 B, Consumer Discretionary, Auto Manufacturers
8750,"Dai-ichi Life Holdings, Inc.",$21.76 B, Financials, Insurance—Life
7309,"Shimano, Inc.",$21.51 B, Consumer Discretionary, Leisure
8801,Mitsui Fudosan Co. Ltd,$21.46 B, Real Estate, Real Estate—Diversified
3659,NEXON Co. Ltd,$21.36 B, Communication Services, Electronic Gaming & Multimedia
8002,Marubeni Corp,$20.78 B, Industrials, Conglomerates
6971,Kyocera Corp,$20.62 B, Technology, Consumer Electronics
2768,Sojitz Corp,$20.55 B, Industrials, Conglomerates
8802,Mitsubishi Estate Co. Ltd,$20.39 B, Real Estate, Real Estate—Diversified
4612,Nippon Paint Holdings Co. Ltd,$20.38 B, Basic Materials, Specialty Chemicals
4307,Nomura Research Institute Ltd,$20.26 B, Technology, Information Technology Services
4452,Kao Corp,$19.85 B, Consumer Staples, Household & Personal Products
6723,Renesas Electronics Corp,$19.73 B, Technology, Semiconductors
4911,Shiseido Co Ltd,$19.69 B, Consumer Staples, Household & Personal Products
4578,Otsuka Holdings Co. Ltd,$19.03 B, Healthcare, Drug Manufacturers—General
